slug,name,status,platform,price_label,price,price_note,cta_text,stripe_price_id,success_url,cancel_url,store_serp_co_product_page_url,apps_serp_co_product_page_url,serply_link,categories,keywords
stocksy-downloader,Stocksy Downloader,draft,Stocksy,One-time payment,$17.00,,Get it Now,price_1S99g906JrOmKRCmaZzHAMEw,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=stocksy-downloader,https://store.serp.co/product-details/product/stocksy-downloader,https://apps.serp.co/stocksy-downloader,https://serp.ly/stocksy-downloader,Downloader;Creative Assets,stocksy downloader
stockvault-downloader,Stockvault Downloader,draft,Stockvault,One-time payment,$17.00,,Get it Now,price_1S99g906JrOmKRCmGb7sOQ2q,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=stockvault-downloader,https://store.serp.co/product-details/product/stockvault-downloader,https://apps.serp.co/stockvault-downloader,https://serp.ly/stockvault-downloader,Downloader;Creative Assets;Image Hosting,stockvault downloader
storyblocks-downloader,Storyblocks Downloader,draft,Storyblocks,One-time payment,$17.00,,Get it Now,price_1S99gA06JrOmKRCmt3y1AyVP,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=storyblocks-downloader,https://store.serp.co/product-details/product/storyblocks-downloader,https://apps.serp.co/storyblocks-downloader,https://serp.ly/storyblocks-downloader,Downloader;Creative Assets,storyblocks downloader
stream-downloader,Stream Downloader,draft,Stream,One-time payment,$17.00,,Get it Now,price_1S99gA06JrOmKRCmwsTNavsX,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=stream-downloader,https://store.serp.co/product-details/product/stream-downloader,https://apps.serp.co/stream-downloader,https://serp.ly/stream-downloader,Downloader;Livestream,stream downloader
stripchat-video-downloader,Stripchat Video Downloader,draft,Stripchat,One-time payment,$17.00,,Get it Now,price_1S99gB06JrOmKRCmEwvJ6CbW,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=stripchat-video-downloader,https://store.serp.co/product-details/product/stripchat-video-downloader,https://apps.serp.co/stripchat-video-downloader,https://serp.ly/stripchat-video-downloader,Downloader;Adult;Livestream,stripchat video downloader
teachable-video-downloader,Teachable Video Downloader,draft,Teachable,One-time payment,$17.00,,Get it Now,price_1S99gB06JrOmKRCmO2gulXc5,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=teachable-video-downloader,https://store.serp.co/product-details/product/teachable-video-downloader,https://apps.serp.co/teachable-video-downloader,https://serp.ly/teachable-video-downloader,Downloader;Course Platforms,teachable video downloader
telegram-video-downloader,Telegram Video Downloader,draft,Telegram,One-time payment,$17.00,,Get it Now,price_1S99gC06JrOmKRCm9XooPQNU,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=telegram-video-downloader,https://store.serp.co/product-details/product/telegram-video-downloader,https://apps.serp.co/telegram-video-downloader,https://serp.ly/telegram-video-downloader,Downloader;Social Media,telegram video downloader
terabox-downloader,Terabox Downloader,draft,Terabox,One-time payment,$17.00,,Get it Now,price_1S99gC06JrOmKRCmY3kTiBht,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=terabox-downloader,https://store.serp.co/product-details/product/terabox-downloader,https://apps.serp.co/terabox-downloader,https://serp.ly/terabox-downloader,Downloader;Image Hosting,terabox downloader
thinkific-downloader,Thinkific Downloader,draft,Thinkific,One-time payment,$17.00,,Get it Now,price_1S99gE06JrOmKRCmEfjsFume,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=thinkific-downloader,https://store.serp.co/product-details/product/thinkific-downloader,https://apps.serp.co/thinkific-downloader,https://serp.ly/thinkific-downloader,Downloader;Course Platforms,thinkific downloader
thumbnail-downloader,Thumbnail Downloader,draft,Thumbnail,One-time payment,$17.00,,Get it Now,price_1S99gE06JrOmKRCmHWXd57yx,https://apps.serp.co/checkout/success?session_id={CHECKOUT_SESSION_ID},https://apps.serp.co/checkout?product=thumbnail-downloader,https://store.serp.co/product-details/product/thumbnail-downloader,https://apps.serp.co/thumbnail-downloader,https://serp.ly/thumbnail-downloader,Downloader;Creative Assets,thumbnail downloader
